company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
Varta;DE000A0TGJ55;MDAX;x;;;Industrial;Industrials;31.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Wacker Chemie;DE000WCH8881;MDAX;;;;Chemicals;Basic Materials;15.03.2022;31.12.;yes;yes;4271;n.a.;n.a.;68,8;53,6;52,9;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;6208;n.a.;n.a.;2
1&1;DE0005545503;SDAX;;;;Telecommunication;Telecommunication;17.03.2022;31.12.;no;no;0;31;1;0;46;3,8;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3910;68;16;n.a.
Aareal Bank;DE0005408116;SDAX;x;;;Banks;FIRE;30.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
About You;DE000A3CNK42;SDAX;x;x;;Retail;Consumer Services;24.05.2022;28.02.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Adesso;DE000A0Z23Q5;SDAX;;;;Software;Information Technology;29.03.2022;31.12.;no;yes;0;80;0;0;73;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;678;110;3;2,5
Adler Group;LU1250154413;SDAX;x;;;Financial Services;FIRE;31.03.2022;31.12.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
ADVA Optical Networking;DE000A3MQBT1;SDAX;;;;Technology;Information Technology;24.02.2022;31.12.;no;yes;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;603;n.a.;n.a.;2
Amadeus Fire;DE0005093108;SDAX;x;;x;Industrial;Industrials;22.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;372;n.a.;n.a.;n.a.
Atoss Software;DE0005104400;SDAX;;;;Software;Information Technology;11.03.2022;31.12.;yes;yes;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;97;n.a.;n.a.;1,5
Auto1 Group;DE000A2LQ884;SDAX;;x;;Retail;Consumer Services;08.04.2022;31.12.;no;yes;668;n.a.;n.a.;14;84;57;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4775;n.a.;n.a.;n.a.
Basler;DE0005102008;SDAX;;;;Industrial;Industrials;30.03.2022;31.12.;yes;no;0;0;0;0;0;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;215;16;85;1
BayWa;DE0005194062;SDAX;;;;Industrial;Industrials;24.03.2022;31.12.;no;no;1091;56;17;5,5;15,5;16,1;1071;47;17;5;13;16;19839;358;104;n.a.
Bilfinger;DE0005909006;SDAX;;;;Industrial;Industrials;10.03.2022;31.12.;yes;no;67;23;0;2;21;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3737;109;105;3
Ceconomy;DE0007257503;SDAX;x;x;;Retail;Consumer Services;15.12.2022;30.09.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
CEWE;DE0005403901;SDAX;;;;Consumer;Consumer Goods;31.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;1,2;1,6;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;693;n.a.;n.a.;1,5
CompuGroup Medical;DE000A288904;SDAX;;x;;Software;Information Technology;07.04.2022;31.12.;no;no;13;10;4;1,3;4,2;1,7;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1025;241;208;n.a.
Dermapharm Holding;DE000A2GS5D8;SDAX;x;x;;Pharma & Healthcare;Pharma & Healthcare;12.04.2022;31.12.;no;no;0;ins;0;0;ins;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;943;64;n.a.;n.a.
Deutsche EuroShop;DE0007480204;SDAX;x;x;;Financial Services;FIRE;26.04.2022;31.12.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Deutsche Pfandbriefbank;DE0008019001;SDAX;x;;;Banks;FIRE;28.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
